score,runs_scored,balls_faced,strike_rate,fours,sixes,opposition,ground,date,odi_number
0,0,1,0,0,0,v Bangladesh,Chattogram,12/23/2004,ODI # 2199
12,12,11,109.09,2,0,v Bangladesh,Dhaka,12/26/2004,ODI # 2201
7*,7,2,350,0,1,v Bangladesh,Dhaka,12/27/2004,ODI # 2202
3,3,7,42.85,0,0,v Pakistan,Kochi,4/2/2005,ODI # 2235
148,148,123,120.32,15,4,v Pakistan,Visakhapatnam,4/5/2005,ODI # 2236
28,28,24,116.66,5,0,v Pakistan,Jamshedpur,4/9/2005,ODI # 2237
47,47,64,73.43,4,1,v Pakistan,Ahmedabad,4/12/2005,ODI # 2238
11,11,16,68.75,1,0,v Pakistan,Kanpur,4/15/2005,ODI # 2239
24,24,38,63.15,2,0,v Pakistan,Delhi,4/17/2005,ODI # 2240
2,2,7,28.57,0,0,v Sri Lanka,Dambulla,7/30/2005,ODI # 2262
15*,15,11,136.36,1,1,v West Indies,Dambulla,7/31/2005,ODI # 2263
20,20,27,74.07,1,0,v Sri Lanka,Dambulla,8/3/2005,ODI # 2265
28*,28,13,215.38,1,2,v West Indies,Colombo (RPS),8/7/2005,ODI # 2267
7,7,11,63.63,0,0,v Sri Lanka,Colombo (RPS),8/9/2005,ODI # 2268
2,2,5,40,0,0,v New Zealand,Bulawayo,8/26/2005,ODI # 2273
56,56,46,121.73,2,4,v Zimbabwe,Harare,8/29/2005,ODI # 2274
37*,37,27,137.03,3,2,v New Zealand,Harare,9/2/2005,ODI # 2278
67*,67,63,106.34,1,3,v Zimbabwe,Harare,9/4/2005,ODI # 2280
11,11,16,68.75,1,0,v New Zealand,Harare,9/6/2005,ODI # 2281
38,38,28,135.71,3,2,v Sri Lanka,Nagpur,10/25/2005,ODI # 2286
DNB,-,-,-,-,-,v Sri Lanka,Mohali,10/28/2005,ODI # 2287
183*,183,145,126.2,15,10,v Sri Lanka,Jaipur,10/31/2005,ODI # 2290
45*,45,43,104.65,1,2,v Sri Lanka,Pune,11/3/2005,ODI # 2291
0,0,1,0,0,0,v Sri Lanka,Ahmedabad,11/6/2005,ODI # 2294
DNB,-,-,-,-,-,v Sri Lanka,Rajkot,11/9/2005,ODI # 2295
80,80,73,109.58,9,3,v Sri Lanka,Vadodara,11/12/2005,ODI # 2296
17,17,28,60.71,1,0,v South Africa,Hyderabad (Deccan),11/16/2005,ODI # 2297
DNB,-,-,-,-,-,v South Africa,Bengaluru,11/19/2005,ODI # 2298
14,14,26,53.84,0,0,v South Africa,Kolkata,11/25/2005,ODI # 2299
12,12,26,46.15,1,0,v South Africa,Mumbai,11/28/2005,ODI # 2300
68,68,53,128.3,11,1,v Pakistan,Peshawar,2/6/2006,ODI # 2324
DNB,-,-,-,-,-,v Pakistan,Rawalpindi,2/11/2006,ODI # 2327
72*,72,46,156.52,13,0,v Pakistan,Lahore,2/13/2006,ODI # 2329
2*,2,5,40,0,0,v Pakistan,Multan,2/16/2006,ODI # 2331
77*,77,56,137.5,6,4,v Pakistan,Karachi,2/19/2006,ODI # 2333
20,20,28,71.42,2,0,v England,Delhi,3/28/2006,ODI # 2357
38,38,55,69.09,2,0,v England,Faridabad,3/31/2006,ODI # 2358
13*,13,6,216.66,1,1,v England,Margao,4/3/2006,ODI # 2359
10*,10,13,76.92,1,0,v England,Kochi,4/6/2006,ODI # 2360
96,96,106,90.56,10,3,v England,Jamshedpur,4/12/2006,ODI # 2361
3,3,10,30,0,0,v Pakistan,Abu Dhabi,4/18/2006,ODI # 2363
59,59,72,81.94,5,0,v Pakistan,Abu Dhabi,4/19/2006,ODI # 2364
18,18,11,163.63,2,1,v West Indies,Kingston,5/18/2006,ODI # 2377
2,2,7,28.57,0,0,v West Indies,Kingston,5/20/2006,ODI # 2379
15,15,26,57.69,1,0,v West Indies,Basseterre,5/23/2006,ODI # 2380
46*,46,58,79.31,6,0,v West Indies,Port of Spain,5/26/2006,ODI # 2381
14,14,19,73.68,2,0,v West Indies,Port of Spain,5/28/2006,ODI # 2382
DNB,-,-,-,-,-,v Sri Lanka,Colombo (SSC),8/18/2006,ODI # 2405
2,2,10,20,0,0,v West Indies,Kuala Lumpur,9/14/2006,ODI # 2414
DNB,-,-,-,-,-,v Australia,Kuala Lumpur,9/16/2006,ODI # 2416
18,18,13,138.46,4,0,v West Indies,Kuala Lumpur,9/20/2006,ODI # 2419
23,23,34,67.64,0,1,v Australia,Kuala Lumpur,9/22/2006,ODI # 2421
